UBICACIÓN / LOCATION,IMAGEN PLANO,DESARROLLO / DEVELOPMENT,UNIDAD / UNIT,RECAMARAS / BEDROOMS,M2,SQFT,PRECIO DE LISTA / PRICE LIST,DESCUENTO / DISCOUNT %,DESCUENTO / DISCOUNT $,PRECIO FINAL / FINAL PRICE,COTIZAR,OPCION 1,ENGANCHE,MONTO,SALDO,PRECIO ,DESCUENTO TOTAL,OPCION 2,ENGANCHE1,MONTO1,SALDO1,PRECIO1,DESCUENTO TOTAL1,OPCION 3,ENGANCHE2,MONTO2,SALDO2,PRECIO2,DESCUENTO TOTAL2,OPCION 4,ENGANCHE3,MONTO3,6 MESES 10%,12 MESES 10%,SALDO3,PRECIO3,DESCUENTO TOTAL3,OPCION 5,ENGANCHE4,MONTO4,6 MESES 10%1,12 MESES 10%1,SALDO4,PRECIO4,DESCUENTO TOTAL4,OPCION 6,ENGANCHE5,MONTO5,SALDO5,PRECIO5,DESCUENTO TOTAL5,PRECIO6,OPCION 7,ENGANCHE6,MONTO6,A FINANCIAR,MONTO TOTAL A PAGAR,TASA,PLAZO,PAGO MENSUAL,ENGANCHE7,MONTO7,SALDO7,PRECIO7,DESCUENTO TOTAL7,TC PREVENTA,TC TERMINADO,PRECIO DE LISTA / PRICE LIST MXN,DESCUENTO / DISCOUNT % MXN,DESCUENTO / DISCOUNT $ MXN,PRECIO FINAL / FINAL PRICE MXN,TC CAD,PRECIO DE LISTA / PRICE LIST CAD,DESCUENTO / DISCOUNT % CAD,DESCUENTO / DISCOUNT $ CAD,PRECIO FINAL / FINAL PRICE CAD,,DESARROLLO / DEVELOPMENT,UNIDAD / UNIT,RECAMARAS / BEDROOMS,M2,SQFT,PRECIO DE LISTA / PRICE LIST,DESCUENTO / DISCOUNT %,DESCUENTO / DISCOUNT $,PRECIO FINAL / FINAL PRICE,,,BAJA ,MEDIO ,ALTA ,FIESTAS ,,,BAJA ,MEDIO ,ALTA,FIESTAS ,,INGRESO BRUTO,30% ADMIN,GASTOS GENERALES,MANTENIMIENTO,PREDIAL,RETORNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_483eba6f031e49e5890d2512c30716f6~mv2.jpg,CEIBA,212,3 RECAMARAS,126,1361," $600,929 ",10%," $60,093 "," $540,836 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,162251,378585,540836,60093,Forma de pago / Payment plan 2,50%,261404,261404,522808,78121,Forma de pago / Payment plan 3,80%,408632,102158,510790,90139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,13220438,1322044,0,11898394,15,911754,10%,91175,820579,,CEIBA,212,3 RECAMARAS,126,1361,"$600,929",10%,"$60,093","$540,836",,,$190,$260,$320,$550,,,,,,,,"$67,718.50","$20,315.55","$3,000.00","$5,292.00",$540.84,7.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed0517bd76a749199434b86cb7a835d207faf~mv2.jpg,CEIBA,302,2 RECAMARAS,85,914," $464,333 ",10%," $46,433 "," $417,900 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,125370,292530,417900,46433,Forma de pago / Payment plan 2,50%,201985,201985,403970,60363,Forma de pago / Payment plan 3,80%,315746,78937,394683,69650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,10215326,1021533,0,9193793,15,704505,10%,70451,634055,,CEIBA,302,2 RECAMARAS,85,914,"$464,333",10%,"$46,433","$417,900",,,$135,$165,$210,$350,,,,,,,,"$44,049.00","$13,214.70","$3,000.00","$3,570.00",$417.90,5.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_ed854da40135474eafaf4e303eeade03~mv2.jpg,CEIBA,305,3 RECAMARAS,126,1361," $615,713 ",10%," $61,571 "," $554,142 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,166243,387899,554142,61571,Forma de pago / Payment plan 2,50%,267835,267835,535670,80043,Forma de pago / Payment plan 3,80%,418685,104671,523356,92357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,13545686,1354569,0,12191117,15,934185,10%,93419,840767,,CEIBA,305,3 RECAMARAS,126,1361,"$615,713",10%,"$61,571","$554,142",,,$190,$260,$320,$550,,,,,,,,"$67,718.50","$20,315.55","$3,000.00","$5,292.00",$554.14,6.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_f8d416be64e246209ff992fdfd82c4ae~mv2.jpg,CEIBA,309,1 RECAMARA,68,731," $401,001 ",10%," $40,100 "," $360,901 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,108270,252631,360901,40100,Forma de pago / Payment plan 2,50%,174435,174435,348871,52130,Forma de pago / Payment plan 3,80%,272681,68170,340851,60150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,8822022,882202,0,7939820,15,608415,10%,60842,547574,,CEIBA,309,1 RECAMARA,68,731,"$401,001",10%,"$40,100","$360,901",,,$90,$130,$150,$200,,,,,,,,"$31,416.00","$9,424.80","$3,000.00","$2,856.00",$360.90,4.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_12653153a2c84051b8644daa21b69ee5~mv2.jpg,CEIBA,312,3 RECAMARAS,126,1361," $615,713 ",10%," $61,571 "," $554,142 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,166243,387899,554142,61571,Forma de pago / Payment plan 2,50%,267835,267835,535670,80043,Forma de pago / Payment plan 3,80%,418685,104671,523356,92357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,13545686,1354569,0,12191117,15,934185,10%,93419,840767,,CEIBA,312,3 RECAMARAS,126,1361,"$615,713",10%,"$61,571","$554,142",,,$190,$260,$320,$550,,,,,,,,"$67,718.50","$20,315.55","$3,000.00","$5,292.00",$554.14,6.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_55286ab659b54a90a49b6b6de43a7833~mv2.jpg,CEIBA,404,1 RECAMARA,58,623," $338,464 ",10%," $33,846 "," $304,618 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,91385,213232,304618,33846,Forma de pago / Payment plan 2,50%,147232,147232,294464,44000,Forma de pago / Payment plan 3,80%,230156,57539,287694,50770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,7446208,744621,0,6701587,15,513532,10%,51353,462178,,CEIBA,404,1 RECAMARA,58,623,"$338,464",10%,"$33,846","$304,618",,,$90,$130,$150,$200,,,,,,,,"$31,416.00","$9,424.80","$3,000.00","$2,436.00",$304.62,5.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_7935235d62a84d8a9f3284edd49de674~mv2.jpg,CEIBA,411,1 RECAMARA,58,623," $338,464 ",10%," $33,846 "," $304,618 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,91385,213232,304618,33846,Forma de pago / Payment plan 2,50%,147232,147232,294464,44000,Forma de pago / Payment plan 3,80%,230156,57539,287694,50770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,7446208,744621,0,6701587,15,513532,10%,51353,462178,,CEIBA,411,1 RECAMARA,58,623,"$338,464",10%,"$33,846","$304,618",,,$90,$130,$150,$200,,,,,,,,"$31,416.00","$9,424.80","$3,000.00","$2,436.00",$304.62,5.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_26e05477ac2c49f99d68a5863a2a2372~mv2.jpg,CEIBA,412,3 RECAMARAS,126,1361," $631,543 ",10%," $63,154 "," $568,389 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,170517,397872,568389,63154,Forma de pago / Payment plan 2,50%,274721,274721,549442,82101,Forma de pago / Payment plan 3,80%,429449,107362,536812,94731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,13893946,1389395,0,12504551,15,958203,10%,95820,862383,,CEIBA,412,3 RECAMARAS,126,1361,"$631,543",10%,"$63,154","$568,389",,,$190,$260,$320,$550,,,,,,,,"$67,718.50","$20,315.55","$3,000.00","$5,292.00",$568.39,6.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_5dae9354bb5547688583c76f6f98d82f~mv2.jpg,CEIBA,503,3 RECAMARAS,161,1730," $739,982 ",10%," $73,998 "," $665,984 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,199795,466189,665984,73998,Forma de pago / Payment plan 2,50%,321892,321892,643784,96198,Forma de pago / Payment plan 3,80%,503188,125797,628985,110997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,16279604,1627960,0,14651644,15,1122731,10%,112273,1010458,,CEIBA,503,3 RECAMARAS,161,1730,"$739,982",10%,"$73,998","$665,984",,,$190,$260,$320,$550,,,,,,,,"$67,718.50","$20,315.55","$3,000.00","$6,762.00",$665.98,5.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_60afd0c2d22e43cabab94b4ba272e250~mv2.jpg,CEIBA,505,3 RECAMARAS,203,2179," $856,197 ",10%," $85,620 "," $770,577 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,231173,539404,770577,85620,Forma de pago / Payment plan 2,50%,372446,372446,744891,111306,Forma de pago / Payment plan 3,80%,582214,145553,727767,128430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,18836334,1883633,0,16952701,15,1299058,10%,129906,1169152,,CEIBA,505,3 RECAMARAS,203,2179,"$856,197",10%,"$85,620","$770,577",,,$190,$260,$320,$550,,,,,,,,"$67,718.50","$20,315.55","$3,000.00","$8,526.00",$770.58,4.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_bbb16d3dcbaf4ab5b177ce07afe3c4ee~mv2.jpg,CEIBA,509,1 RECAMARA,68,731," $421,001 ",10%," $42,100 "," $378,901 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,113670,265231,378901,42100,Forma de pago / Payment plan 2,50%,183135,183135,366271,54730,Forma de pago / Payment plan 3,80%,286281,71570,357851,63150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,9262022,926202,0,8335820,15,638760,10%,63876,574884,,CEIBA,509,1 RECAMARA,68,731,"$421,001",10%,"$42,100","$378,901",,,$90,$130,$150,$200,,,,,,,,"$31,416.00","$9,424.80","$3,000.00",,$378.90,4.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_8c2530e83a0b42ed876dfe086a1e0117~mv2.jpg,CEIBA,510,3 RECAMARAS,161,1730," $739,982 ",10%," $73,998 "," $665,984 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,199795,466189,665984,73998,Forma de pago / Payment plan 2,50%,321892,321892,643784,96198,Forma de pago / Payment plan 3,80%,503188,125797,628985,110997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,16279604,1627960,0,14651644,15,1122731,10%,112273,1010458,,CEIBA,510,3 RECAMARAS,161,1730,"$739,982",10%,"$73,998","$665,984",,,$190,$260,$320,$550,,,,,,,,"$67,718.50","$20,315.55","$3,000.00","$6,762.00",$665.98,5.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_48a3783e3abf4fad92909746ed2a4efb~mv2.jpg,CEIBA,512,3 RECAMARAS,203,2179," $856,197 ",10%," $85,620 "," $770,577 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,231173,539404,770577,85620,Forma de pago / Payment plan 2,50%,372446,372446,744891,111306,Forma de pago / Payment plan 3,80%,582214,145553,727767,128430,,,,,,,,,,,,,,,,,,,,,,,,,enganche,monto,a financiar,por pagar total,tasa interes,plazo,pago mensual,,,,,,22,,18836334,1883633,0,16952701,15,1299058,10%,129906,1169152,,CEIBA,512,3 RECAMARAS,203,2179,"$856,197",10%,"$85,620","$770,577",,,$190,$260,$320,$550,,,,,,,,"$67,718.50","$20,315.55","$3,000.00","$8,526.00",$770.58,4.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULUM,https://static.wixstatic.com/media/5ed051_34fe45a022db4bdf86c15dd0bb934d0b~mv2.jpg,COSTA CARIBE,A 102,1 RECAMARA,78,840,243899,32%,78048,165852,💰 Cotizar,Forma de pago / Payment plan 1,30%,49755,116096,165852,78048,Forma de pago / Payment plan 2,50%,82926,82926,165852,78048,Forma de pago / Payment plan 3,80%,132681,33170,165852,78048,,,,,,,,,,,,,,,,,,,,,,,195120,Forma de pago / Payment plan,50%,97560,97560,130210,12%,5,2170,,,,,,,21,5121888,1639004,0,3482884,15,353234,32%,113035,240199,,COSTA CARIBE,A 102,1 RECAMARA,78,840,"$243,899",32%,"$78,048","$165,852",,,,,,,,,$75,$90,$120,$170,,"$22,190.00","$6,657.00","$3,000.00","$3,280.17",$165.85,5.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULUM,https://static.wixstatic.com/media/5ed051_26a59ae70d2a438d8ec6b266c27b0ebc~mv2.jpg,COSTA CARIBE,A 103,1 RECAMARA,65,696,239900,32%,76768,163132,💰 Cotizar,Forma de pago / Payment plan 1,30%,48940,114192,163132,76768,Forma de pago / Payment plan 2,50%,81566,81566,163132,76768,Forma de pago / Payment plan 3,80%,130506,32626,163132,76768,,,,,,,,,,,,,,,,,,,,,,,191920,Forma de pago / Payment plan,50%,95960,95960,128075,12%,5,2135,,,,,,,21,5037898,1612127,0,3425771,15,347441,32%,111181,236260,,COSTA CARIBE,A 103,1 RECAMARA,65,696,"$239,900",32%,"$76,768","$163,132",,,,,,,,,$75,$90,$120,$170,,"$22,190.00","$6,657.00","$3,000.00","$2,715.35",$163.13,5.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULUM,https://static.wixstatic.com/media/5ed051_8d05375133ec467b8cbfe0bf0d7e8217~mv2.jpg,COSTA CARIBE,A 104,1 RECAMARA,54,582,227900,32%,72928,154972,💰 Cotizar,Forma de pago / Payment plan 1,30%,46492,108481,154972,72928,Forma de pago / Payment plan 2,50%,77486,77486,154972,72928,Forma de pago / Payment plan 3,80%,123978,30994,154972,72928,,,,,,,,,,,,,,,,,,,,,,,182320,Forma de pago / Payment plan,50%,91160,91160,121668,12%,5,2028,,,,,,,21,4785905,1531490,0,3254415,15,330062,32%,105620,224442,,COSTA CARIBE,A 104,1 RECAMARA,54,582,"$227,900",32%,"$72,928","$154,972",,,,,,,,,$75,$90,$120,$170,,"$22,190.00","$6,657.00","$3,000.00","$3,287.26",$154.97,5.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULUM,https://static.wixstatic.com/media/5ed051_be8570046c3e470fb475999c4999d249~mv2.jpg,COSTA CARIBE,A 202,1 RECAMARA,94,1016,293900,32%,94048,199852,💰 Cotizar,Forma de pago / Payment plan 1,30%,59956,139897,199852,94048,Forma de pago / Payment plan 2,50%,99926,99926,199852,94048,Forma de pago / Payment plan 3,80%,159882,39970,199852,94048,,,,,,,,,,,,,,,,,,,,,,,235120,Forma de pago / Payment plan,50%,117560,117560,156904,12%,5,2615,,,,,,,21,6171910,1975011,0,4196899,15,425649,32%,136208,289441,,COSTA CARIBE,A 202,1 RECAMARA,94,1016,"$293,900",32%,"$94,048","$199,852",,,,,,,,,$75,$90,$120,$170,,"$22,190.00","$6,657.00","$3,000.00","$3,963.41",$199.85,4.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULUM,https://static.wixstatic.com/media/5ed051_81e2085c4e1641dd82af9a7b92d7dae0~mv2.jpg,COSTA CARIBE,A 203,1 RECAMARA,66,713,239900,32%,76768,163132,💰 Cotizar,Forma de pago / Payment plan 1,30%,48940,114192,163132,76768,Forma de pago / Payment plan 2,50%,81566,81566,163132,76768,Forma de pago / Payment plan 3,80%,130506,32626,163132,76768,,,,,,,,,,,,,,,,,,,,,,,191920,Forma de pago / Payment plan,50%,95960,95960,128075,12%,5,2135,,,,,,,21,5037903,1612129,0,3425774,15,347442,32%,111181,236260,,COSTA CARIBE,A 203,1 RECAMARA,66,713,"$239,900",32%,"$76,768","$163,132",,,,,,,,,$75,$90,$120,$170,,"$22,190.00","$6,657.00","$3,000.00","$2,780.85",$163.13,5.88%,,,,,,,,,,,,,,$90,$130,$150,$200,,,,,,,,"$31,416.00","$9,424.80","$3,000.00","$2,856.00",$378.90,4.16%
